San+JoseCA4062,AnaheimCA4101,2.5
San+JoseCA4062,San+JoseCA4119,2
San+JoseCA4062,TacomaWA3251,6.5
San+JoseCA4062,RelayMD4110,8
San+JoseCA4062,AnaheimCA4099,8.5
San+JoseCA4062,San+JoseCA4112,2
San+JoseCA4062,San+JoseCA6742,4
San+JoseCA4062,San+JoseCA4095,2
San+JoseCA4062,San+JoseCA6405,2
San+JoseCA4062,San+JoseCA4132,4
San+JoseCA4062,ChicagoIL4037,9
AnaheimCA6490,AnaheimCA4101,2
AnaheimCA6490,AnaheimCA4099,8
ManasquanNJ4086,New+YorkNY4088,4.5
ManasquanNJ4086,Copenhagen4038,3
ManasquanNJ4086,ManasquanNJ4047,2
ManasquanNJ4086,RelayMD4110,4
AnaheimCA6564,AnaheimCA4099,8
AnaheimCA6564,AnaheimCA4101,2
AnaheimCA6564,AnaheimCA4031,2
AnaheimCA6564,AnaheimCA4073,3
AnaheimCA6564,AnaheimCA6721,2
AnaheimCA6564,AnaheimCA4100,2
DallasTX6566,DallasTX2635,3
DallasTX6566,DallasTX4015,3
DallasTX6566,DallasTX4080,3
DallasTX6566,New+YorkNY4028,2
DallasTX6566,DallasTX4115,2
WashingtonDC6456,WashingtonDC6736,3
WashingtonDC6456,WashingtonDC6543,2
WashingtonDC6456,WashingtonDC6415,2
WashingtonDC6456,RelayMD4110,2.5
WashingtonDC6456,RelayMD4093,2.5
WashingtonDC6456,WashingtonDC6393,3
WashingtonDC6456,RelayMD4054,2.5
TacomaWA6720,TacomaWA3251,1
DallasTX6494,DallasTX2635,2
DallasTX6494,DallasTX4015,2
DallasTX6494,New+YorkNY4028,3
DallasTX6494,DallasTX4080,2
DallasTX6494,DallasTX4115,3
RoachdaleIN6712,RoachdaleIN4111,2
RoachdaleIN6712,RoachdaleIN4056,2
London4083,London4044,2
London4083,BrusselsBelgium4033,2
London4083,ManasquanNJ4047,2.5
London4083,DublinIreland4078,1
London4083,New+YorkNY4022,9.5
London4084,New+YorkNY4024,9
London4084,BrusselsBelgium4033,8
London4084,ManasquanNJ4047,4.5
London4084,New+YorkNY4022,7.5
Research+Triangle+ParkNC4057,RelayMD4054,1
MilanItaly4046,MilanItaly4085,5
MilanItaly4046,Paris4090,2
Pearl+HarborHI4092,AnaheimCA4099,7
Pearl+HarborHI4092,Pearl+HarborHI6400,2.5
Pearl+HarborHI4092,Pearl+HarborHI4053,9.5
Pearl+HarborHI4092,StocktonCA4096,8.5
Pearl+HarborHI4092,Pearl+HarborHI6550,3
Pearl+HarborHI4092,AnaheimCA4100,16
Research+Triangle+ParkNC4058,AtlantaGA4074,1
TacomaWA4114,San+JoseCA4095,6.5
TacomaWA4114,TacomaWA6408,3
TacomaWA4114,TacomaWA3251,2
TacomaWA4114,CheyenneWY4076,5.5
TacomaWA4114,TacomaWA6555,2
TacomaWA4114,Tokyo4070,6
HamburgGermany4041,Copenhagen4038,4.5
HamburgGermany4041,Amsterdam4072,2
HamburgGermany4041,HamburgGermany4081,4
HamburgGermany4041,MunichGermany4087,1
AtlantaGA6565,AtlantaGA3957,2
AtlantaGA6565,AtlantaGA4032,2
RelayMD6551,RelayMD4093,2.5
RelayMD6551,RelayMD4110,2.5
RelayMD6551,RelayMD4054,2.5
DenverColorado5511,CheyenneWY4034,1
PennsaukenNJ6624,PennsaukenNJ4109,3
PennsaukenNJ6624,PennsaukenNJ4052,2
PennsaukenNJ6624,PennsaukenNJ4091,3
Lees+SummitMO5512,Kansas+CityMO4105,3.5
Lees+SummitMO5512,Kansas+CityMO4106,2
CheyenneWY6746,Kansas+CityMO6544,1
Rancho+CordovaCA5507,Rancho+CordovaCA5514,2.5
Rancho+CordovaCA5507,StocktonCA4113,2.5
Rancho+CordovaCA5507,StocktonCA4065,2.5
RelayMD6487,RelayMD4110,1
PennsaukenNJ6486,PennsaukenNJ4109,3
PennsaukenNJ6486,PennsaukenNJ4052,2
PennsaukenNJ6486,PennsaukenNJ4091,3
DallasTX6641,AtlantaGA3957,7.5
DallasTX6641,DallasTX2635,3
DallasTX6641,DallasTX4015,3
DallasTX6641,DallasTX4080,3
DallasTX6641,ChicagoIL6593,6.5
DallasTX6641,New+YorkNY4028,4
DallasTX6641,DallasTX4115,4
AnaheimCA4100,AnaheimCA4101,2
AnaheimCA4100,San+JoseCA4119,2.5
AnaheimCA4100,AnaheimCA6464,2
AnaheimCA4100,AnaheimCA6570,2
